Dataset,Implementation,Variant,loss,optim,constrained_embedding,embedding,final_act,layers,batch_size,dropout_p_embed,dropout_p_hidden,learning_rate,momentum,n_sample,sample_alpha,bpreg,logq,Recall@1,MRR@1,Recall@5,MRR@5,Recall@10,MRR@10,Recall@20,MRR@20,Avg. epoch time (s),Avg. e/s,Avg. mb/s,Recall@1 Diff,MRR@1 Diff,Recall@5 Diff,MRR@5 Diff,Recall@10 Diff,MRR@10 Diff,Recall@20 Diff,MRR@20 Diff
Rees46,GRU4Rec Official,Best params,bpr-max,adagrad,TRUE,0,elu-0.5,512,32,0.1,0,0.03,0.55,2048,0.2,0.75,0,0.1027,0.1027,0.2897,0.168,0.4027,0.1831,0.5206,0.1913,1956.8,29326,916.45,,,,,,,,
Rees46,GRU4Rec Official,GRU4REC-pytorch params,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,0.1,0,0.03,0,0,0,0,0,0.028,0.028,0.1061,0.0542,0.1732,0.0631,0.2615,0.0691,1492.53,38448,1201.51,-72.74%,-72.74%,-63.38%,-67.73%,-57.00%,-65.56%,-49.76%,-63.86%
Rees46,GRU4REC-pytorch,OOB,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,0.005,0.005,0.0326,0.0136,0.0685,0.0183,0.1316,0.0225,29528.42,1943.38,60.73,-95.17%,-95.17%,-88.74%,-91.89%,-82.98%,-90.01%,-74.72%,-88.21%
Rees46,GRU4REC-pytorch,OOB Correct Eval,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,0.0048,0.0048,0.0324,0.0134,0.0713,0.0185,0.1418,0.0232,29553.78,1941.71,60.68,-95.35%,-95.35%,-88.81%,-92.01%,-82.30%,-89.92%,-72.76%,-87.86%
Rees46,GRU4REC-pytorch,Correct full,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,0.1,0,0.03,N/A,N/A,N/A,N/A,N/A,0.0109,0.0109,0.0522,0.0242,0.0992,0.0303,0.1764,0.0355,30497.64,1881.62,58.8,-89.38%,-89.38%,-81.97%,-85.61%,-75.37%,-83.46%,-66.11%,-81.43%
Rees46,GRU4Rec Official,Torch-GRU4Rec params,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,0.1,0,0.03,0,2048,0.2,0.75,0,0.0968,0.0968,0.2801,0.1607,0.3923,0.1757,0.5112,0.1839,1816.76,31587,987.09,-5.78%,-5.78%,-3.34%,-4.34%,-2.59%,-4.04%,-1.80%,-3.83%
Rees46,Torch-GRU4Rec,OOB,bpr-max,adagrad,FALSE,512,elu-0.5,512,32,0.1,0,0.03,N/A,2048,0.2,0.75,N/A,0.0954,0.0954,0.2774,0.1588,0.3894,0.1737,0.5081,0.182,30689.54,1869.86,58.43,-7.12%,-7.12%,-4.28%,-5.50%,-3.32%,-5.11%,-2.40%,-4.86%
Rees46,GRU4Rec Official,Recpack params,bpr-max,adagrad,FALSE,512,linear,512,32,0.1,0,0.03,0,2048,0,0.75,0,0.0896,0.0896,0.2654,0.1508,0.3787,0.1658,0.501,0.1743,1786.73,32118,1003.68,-12.73%,-12.73%,-8.41%,-10.27%,-5.98%,-9.42%,-3.76%,-8.85%
Rees46,Recpack,OOB,bpr-max,adagrad,FALSE,512,N/A,512,32,0.1,0.1,0.03,N/A,2048,N/A,0.75,N/A,0.0762,0.0762,0.2346,0.1311,0.3405,0.1451,0.4624,0.1536,179834.54,319.1,55.21,-25.79%,-25.79%,-19.03%,-21.99%,-15.45%,-20.73%,-11.17%,-19.71%
Rees46,Recpack,Correct exp,bpr-max,adagrad,FALSE,512,N/A,512,32,0.1,0.1,0.03,N/A,2048,N/A,0.75,N/A,0.0767,0.0767,0.2364,0.1321,0.3417,0.1461,0.4624,0.1544,179486.17,319.72,55.32,-25.30%,-25.30%,-18.41%,-21.37%,-15.16%,-20.21%,-11.17%,-19.25%
