,GRU4Rec Official,GRU4Rec Official,Recpack,Recpack,Recpack
Variant,Best params,Recpack params,OOB,Correct exp,Correct full
loss,bpr-max,bpr-max,bpr-max,bpr-max,bpr-max
optim,adagrad,adagrad,adagrad,adagrad,adagrad
constrained_embedding,True,False,False,False,False
embedding,0,512,512,512,512
final_act,elu-1,linear,N/A,N/A,N/A
layers,512,512,512,512,512
batch_size,144,144,144,144,144
dropout_p_embed,0.35,0.35,0.35,0.35,0.35
dropout_p_hidden,0,0,0.35,0.35,0
learning_rate,0.05,0.05,0.05,0.05,0.05
momentum,0.4,0,N/A,N/A,N/A
n_sample,2048,2048,2048,2048,2048
sample_alpha,0.2,0,N/A,N/A,N/A
bpreg,1.85,1.85,1,1.85,1.85
logq,0,0,N/A,N/A,N/A
