,GRU4Rec Official,GRU4Rec Official,GRU4REC-pytorch,GRU4REC-pytorch,GRU4REC-pytorch
Variant,Best params,GRU4REC-pytorch params,OOB,OOB Correct Eval,Correct full
loss,bpr-max,bpr-max,bpr-max,bpr-max,bpr-max
optim,adagrad,adagrad,adagrad,adagrad,adagrad
constrained_embedding,True,False,False,False,False
embedding,0,512,512,512,512
final_act,elu-0.5,elu-0.5,elu-0.5,elu-0.5,elu-0.5
layers,512,512,512,512,512
batch_size,32,32,32,32,32
dropout_p_embed,0.1,0.1,N/A,N/A,0.1
dropout_p_hidden,0,0,N/A,N/A,0
learning_rate,0.03,0.03,0.03,0.03,0.03
momentum,0.55,0,N/A,N/A,N/A
n_sample,2048,0,N/A,N/A,N/A
sample_alpha,0.2,0,N/A,N/A,N/A
bpreg,0.75,0,N/A,N/A,N/A
logq,0,0,N/A,N/A,N/A
