,GRU4Rec Official,GRU4Rec Official,GRU4REC-pytorch,GRU4REC-pytorch,GRU4REC-pytorch
Variant,Best params,GRU4REC-pytorch params,OOB,OOB Correct Eval,Correct full
loss,bpr-max,bpr-max,bpr-max,bpr-max,bpr-max
optim,adagrad,adagrad,adagrad,adagrad,adagrad
constrained_embedding,True,False,False,False,False
embedding,0,224,224,224,224
final_act,elu-0.5,elu-0.5,elu-0.5,elu-0.5,elu-0.5
layers,224,224,224,224,224
batch_size,80,80,80,80,80
dropout_p_embed,0.5,0.5,N/A,N/A,0.5
dropout_p_hidden,0.05,0.05,N/A,N/A,0.05
learning_rate,0.05,0.05,0.05,0.05,0.05
momentum,0.4,0,N/A,N/A,N/A
n_sample,2048,0,N/A,N/A,N/A
sample_alpha,0.4,0,N/A,N/A,N/A
bpreg,1.95,0,N/A,N/A,N/A
logq,0,0,N/A,N/A,N/A
