,GRU4Rec Official,GRU4Rec Official,GRU4Rec Official,KerasGRU4Rec,KerasGRU4Rec,KerasGRU4Rec
Variant,Best params,KerasGRU4Rec params,KerasGRU4Rec params,OOB,Correct exp,Correct full
loss,cross-entropy,cross-entropy,cross-entropy,cross-entropy,cross-entropy,cross-entropy
optim,adagrad,adagrad,adagrad,adam,adagrad,adagrad
constrained_embedding,True,False,False,False,False,False
embedding,0,0,0,0,0,0
final_act,softmax,softmax,softmax,softmax,softmax,softmax
layers,192,192,192,100,192,192
batch_size,240,240,240,240,240,240
dropout_p_embed,0.5,0,0,N/A,N/A,N/A
dropout_p_hidden,0.05,0.05,0.05,0.25,0.05,0.05
learning_rate,0.085,0.085,0.085,0.001,0.085,0.085
momentum,0.3,0,0,N/A,N/A,N/A
n_sample,2048,2048,ALL,N/A,N/A,N/A
sample_alpha,0.3,0,N/A,N/A,N/A,N/A
bpreg,0,0,0,N/A,N/A,N/A
logq,1,0,N/A,N/A,N/A,N/A
