,GRU4Rec Official,GRU4Rec Official,Recpack,Recpack,Recpack
Variant,Best params,Recpack params,OOB,Correct exp,Correct full
loss,bpr-max,bpr-max,bpr-max,bpr-max,bpr-max
optim,adagrad,adagrad,adagrad,adagrad,adagrad
constrained_embedding,True,False,False,False,False
embedding,0,448,448,448,448
final_act,linear,linear,N/A,N/A,N/A
layers,448,448,448,448,448
batch_size,48,48,48,48,48
dropout_p_embed,0.25,0.25,0.25,0.25,0.25
dropout_p_hidden,0,0,0.25,0.25,0
learning_rate,0.075,0.075,0.075,0.075,0.075
momentum,0.1,0,N/A,N/A,N/A
n_sample,2048,2048,2048,2048,2048
sample_alpha,0.2,0,N/A,N/A,N/A
bpreg,0.5,0.5,0.5,0.5,0.5
logq,0,0,N/A,N/A,N/A
