,GRU4Rec Official,GRU4Rec Official,Recpack,Recpack,Recpack
Variant,Best params,Recpack params,OOB,Correct exp,Correct full
loss,bpr-max,bpr-max,bpr-max,bpr-max,bpr-max
optim,adagrad,adagrad,adagrad,adagrad,adagrad
constrained_embedding,True,False,False,False,False
embedding,0,224,224,224,224
final_act,elu-0.5,linear,N/A,N/A,N/A
layers,224,224,224,224,224
batch_size,80,80,80,80,80
dropout_p_embed,0.5,0.5,0.5,0.5,0.5
dropout_p_hidden,0.05,0.05,0.5,0.5,0.05
learning_rate,0.05,0.05,0.05,0.05,0.05
momentum,0.4,,,,
n_sample,2048,2048,2048,2048,2048
sample_alpha,0.4,0,N/A,N/A,N/A
bpreg,1.95,1.95,1,1.95,1.95
logq,0,0,N/A,N/A,N/A
