,GRU4Rec Official,GRU4Rec Official,GRU4REC-pytorch,GRU4REC-pytorch,GRU4REC-pytorch
Variant,Best params,GRU4REC-pytorch params,OOB,OOB Correct Eval,Correct full
loss,bpr-max,bpr-max,bpr-max,bpr-max,bpr-max
optim,adagrad,adagrad,adagrad,adagrad,adagrad
constrained_embedding,True,False,False,False,False
embedding,0,448,448,448,448
final_act,linear,linear,linear,linear,linear
layers,448,448,448,448,448
batch_size,48,48,48,48,48
dropout_p_embed,0.25,0.25,N/A,N/A,0.25
dropout_p_hidden,0,0,N/A,N/A,0
learning_rate,0.075,0.075,0.075,0.075,0.075
momentum,0.1,0,N/A,N/A,N/A
n_sample,2048,0,N/A,N/A,N/A
sample_alpha,0.2,0,N/A,N/A,N/A
bpreg,0.5,0,N/A,N/A,N/A
logq,0,0,N/A,N/A,N/A
